EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2025;4;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;IMPRODUTIVO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1787.0;1.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2025;4;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;SYCJ;GEORGETOWN;;;GUIANA;AMÉRICA DO SUL;INTERNACIONAL;IMPRODUTIVO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1079.0;1.0;0.0;0.0;0.0;0.0;0.0;1.533;0.0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2025;4;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;22.0;0.0;0.0;0.0;0.0;89350.0;39314.0;8935.0;3538.0;0.0;1787.0;1.0;0.0;0.0;0.0;50.0;5000.0;2.65;0.0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2025;4;SYCJ;GEORGETOWN;;;GUIANA;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;58.0;0.0;0.0;0.0;0.0;107900.0;62582.0;10790.0;5632.0;0.0;2158.0;2.0;0.0;0.0;0.0;100.0;10000.0;4.783;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5231.0;257.0;81807.0;0.0;1648.0;55161300.0;44039800.0;10607900.0;4666170.0;0.0;235732.0;28.0;688733000.0;0.0;13874500.0;6552.0;1260000.0;284.152;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7541.0;286.0;173929.0;0.0;1258.0;72835700.0;62168000.0;11500400.0;7039340.0;0.0;255564.0;31.0;1433870000.0;0.0;10371000.0;8835.0;1395000.0;313.086;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7348.0;247.0;30108.0;0.0;3490.0;65170900.0;56792700.0;10782000.0;5371010.0;0.0;239599.0;31.0;232705000.0;0.0;26974200.0;8432.0;1395000.0;294.467;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;8017.0;158.0;200956.0;0.0;5713.0;67711400.0;61442300.0;10691300.0;7113700.0;0.0;237584.0;31.0;1540130000.0;0.0;43784400.0;8835.0;1395000.0;293.618;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;10713.0;303.0;106360.0;66.0;4983.0;77957500.0;71959200.0;14206500.0;7224200.0;0.0;315699.0;47.0;714420000.0;443322.0;33470800.0;11606.0;2115000.0;391.0;0.0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2025;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;23928.0;619.0;630962.0;0.0;3443.0;174080000.0;157303000.0;29944600.0;18327800.0;0.0;611382.0;93.0;4147950000.0;0.0;22634300.0;26480.0;4555000.0;784.219;0.0
